Country,Region,HDI,Footprint_Crop,Footprint_Graze,Footprint_Forest,Footprint_Carbon,Footprint_Fish,Footprint_Total,Land_Crop,Land_Grazing,Land_Forest,Water_Fishing,Land_Urban,Biocapacity_Total,Threat_Species,Emissions_CO2,BioCap_RD,Earths_Req,Countries_Req,Data_Quality
Afghanistan,Middle East/Central Asia,0.46,0.3,0.2,0.08,0.18,0.0,0.79,0.24,0.2,0.02,0.0,0.04,0.5,2.1,63.0,-0.3,0.46,1.6,6
Albania,Northern/Eastern Europe,0.73,0.78,0.22,0.25,0.87,0.02,2.21,0.55,0.21,0.29,0.07,0.06,1.18,28.2,84.0,-1.03,1.27,1.87,6
Algeria,Africa,0.73,0.6,0.16,0.17,1.14,0.01,2.12,0.24,0.27,0.03,0.01,0.03,0.59,0.8,5900.0,-1.53,1.22,3.61,5
Angola,Africa,0.52,0.33,0.15,0.12,0.2,0.09,0.93,0.2,1.42,0.64,0.26,0.04,2.55,46.5,3902.0,1.61,0.54,0.37,6
Argentina,Latin America,0.83,0.78,0.79,0.29,1.08,0.1,3.14,2.64,1.86,0.66,1.67,0.1,6.92,10.0,3167.0,3.78,1.82,0.45,6
Armenia,Middle East/Central Asia,0.73,0.74,0.18,0.34,0.89,0.01,2.23,0.44,0.26,0.1,0.02,0.07,0.89,11.7,48.0,-1.35,1.29,2.52,3
Australia,Asia-Pacific,0.93,2.68,0.63,0.89,4.85,0.11,9.31,5.42,5.81,2.01,3.19,0.14,16.57,16.2,15282.0,7.26,5.37,0.56,5
Austria,European Union,0.88,0.82,0.27,0.63,4.14,0.06,6.06,0.71,0.16,2.04,0.0,0.15,3.07,46.9,505.0,-3.0,3.5,1.98,5
Azerbaijan,Middle East/Central Asia,0.75,0.66,0.22,0.11,1.25,0.01,2.31,0.46,0.2,0.11,0.02,0.06,0.85,13.5,2459.0,-1.46,1.33,2.72,6
Bahamas,Latin America,0.78,0.97,1.05,0.19,4.46,0.14,6.84,0.05,0.0,1.18,8.27,0.04,9.55,51.4,0.0,2.71,3.95,0.72,3
Bahrain,Middle East/Central Asia,0.82,0.52,0.45,0.16,6.19,0.07,7.49,0.01,0.0,0.0,0.46,0.1,0.58,0.8,961.0,-6.91,4.33,12.96,3
Bangladesh,Asia-Pacific,0.56,0.29,0.0,0.08,0.26,0.02,0.72,0.25,0.0,0.0,0.05,0.07,0.38,11.0,1438.0,-0.35,0.42,1.92,6
Barbados,Latin America,0.79,0.56,0.24,0.14,3.28,0.22,4.48,0.08,0.0,0.02,0.04,0.04,0.19,14.7,2.0,-4.29,2.58,23.79,5
Belarus,Northern/Eastern Europe,0.8,1.32,0.12,0.91,2.57,0.08,5.09,1.52,0.3,1.71,0.02,0.09,3.64,42.5,155.0,-1.45,2.94,1.4,6
Belgium,European Union,0.89,1.15,0.48,0.99,4.43,0.12,7.44,0.56,0.03,0.28,0.04,0.27,1.19,22.6,520.0,-6.25,4.3,6.27,6
Benin,Africa,0.48,0.49,0.04,0.26,0.51,0.08,1.41,0.44,0.04,0.34,0.02,0.04,0.88,38.7,96.0,-0.53,0.81,1.61,6
Bhutan,Asia-Pacific,0.59,0.5,0.42,3.03,0.63,0.02,4.84,0.28,0.34,4.38,0.01,0.25,5.27,72.0,75.0,0.43,2.8,0.92,3
Bosnia and Herzegovina,Northern/Eastern Europe,0.73,0.63,0.27,0.44,1.74,0.02,3.12,0.3,0.19,1.13,0.0,0.02,1.63,42.7,252.0,-1.49,1.8,1.91,5
Botswana,Africa,0.69,0.3,0.89,0.24,2.36,0.01,3.83,0.06,2.49,0.63,0.27,0.02,3.47,19.3,47.0,-0.35,2.21,1.1,3
Brazil,Latin America,0.75,0.62,0.85,0.6,0.91,0.04,3.11,1.0,1.0,6.82,0.17,0.09,9.08,59.2,10948.0,5.97,1.8,0.34,5
Brunei Darussalam,Asia-Pacific,0.85,0.31,0.13,0.26,3.24,0.09,4.06,0.02,0.01,1.57,1.24,0.03,2.87,72.1,679.0,-1.19,2.34,1.41,3
Bulgaria,European Union,0.78,0.6,0.13,0.35,2.08,0.03,3.32,1.33,0.08,1.2,0.12,0.13,2.86,35.1,474.0,-0.46,1.92,1.16,5
Burkina Faso,Africa,0.39,0.47,0.17,0.36,0.12,0.03,1.21,0.5,0.17,0.25,0.0,0.05,0.98,19.8,123.0,-0.22,0.7,1.23,5
Burundi,Africa,0.39,0.21,0.07,0.45,0.04,0.0,0.8,0.2,0.07,0.01,0.01,0.03,0.32,10.6,56.0,-0.48,0.46,2.48,4
Cameroon,Africa,0.5,0.54,0.1,0.21,0.19,0.08,1.17,0.55,0.1,0.92,0.08,0.05,1.69,40.3,408.0,0.52,0.68,0.69,6
Canada,North America,0.91,1.46,0.33,1.2,5.0,0.12,8.17,3.11,0.29,9.12,3.41,0.07,16.01,38.2,19276.0,7.83,4.72,0.51,5
Central African Republic,Africa,0.37,0.3,0.55,0.26,0.08,0.02,1.24,0.29,0.57,6.98,0.0,0.04,7.87,35.6,19.0,6.62,0.72,0.16,6
Chad,Africa,0.39,0.36,0.75,0.27,0.01,0.01,1.46,0.35,1.15,0.41,0.07,0.05,2.03,4.0,288.0,0.57,0.84,0.72,6
Chile,Latin America,0.83,0.61,0.33,0.99,2.04,0.25,4.36,0.47,0.45,2.19,0.38,0.15,3.63,23.4,540.0,-0.73,2.52,1.2,6
China,Asia-Pacific,0.72,0.55,0.13,0.19,2.32,0.08,3.38,0.46,0.1,0.22,0.04,0.12,0.94,22.0,101394.0,-2.44,1.95,3.59,6
Colombia,Latin America,0.72,0.35,0.58,0.16,0.67,0.03,1.87,0.22,1.13,2.09,0.07,0.09,3.6,52.8,5380.0,1.72,1.08,0.52,6
Comoros,Africa,0.5,0.33,0.03,0.18,0.25,0.25,1.03,0.23,0.01,0.02,0.07,0.0,0.32,20.1,3.0,-0.7,0.59,3.17,3
Congo,Africa,0.57,0.22,0.09,0.38,0.47,0.1,1.29,0.13,3.06,7.33,0.35,0.03,10.91,65.4,648.0,9.63,0.74,0.12,5
Costa Rica,Latin America,0.76,0.4,0.21,0.68,1.37,0.08,2.84,0.38,0.3,0.63,0.12,0.1,1.53,53.4,110.0,-1.31,1.64,1.86,5
Croatia,Northern/Eastern Europe,0.82,0.74,0.13,0.72,2.21,0.06,3.92,0.68,0.19,1.55,0.33,0.06,2.8,34.3,182.0,-1.12,2.27,1.4,6
Cuba,Latin America,0.77,0.48,0.11,0.09,1.23,0.02,1.95,0.26,0.09,0.23,0.16,0.03,0.76,30.2,212.0,-1.19,1.13,2.56,6
Cyprus,European Union,0.85,0.77,0.08,0.23,2.94,0.14,4.21,0.18,0.0,0.06,0.06,0.05,0.34,18.7,5.0,-3.87,2.43,12.35,5
Denmark,European Union,0.92,1.18,0.47,0.77,2.6,0.24,5.51,2.38,0.01,0.34,1.8,0.25,4.78,14.4,666.0,-0.73,3.18,1.15,5
Dominica,Latin America,0.72,0.64,0.15,0.14,1.47,0.17,2.57,0.4,0.01,0.52,0.1,0.0,1.03,58.1,0.0,-1.54,1.49,2.49,5
Dominican Republic,Latin America,0.71,0.35,0.12,0.12,0.86,0.04,1.53,0.22,0.11,0.16,0.02,0.05,0.56,40.4,28.0,-0.97,0.88,2.74,6
Ecuador,Latin America,0.73,0.3,0.3,0.24,1.08,0.18,2.17,0.32,0.3,1.41,0.11,0.06,2.2,50.8,1247.0,0.03,1.25,0.99,5
Egypt,Africa,0.69,0.68,0.08,0.17,1.02,0.04,2.15,0.38,0.0,0.0,0.02,0.15,0.56,0.1,3509.0,-1.59,1.24,3.86,5
El Salvador,Latin America,0.66,0.44,0.21,0.4,0.84,0.14,2.07,0.27,0.15,0.04,0.11,0.05,0.61,13.0,86.0,-1.46,1.2,3.37,5
Equatorial Guinea,Africa,0.58,0.27,0.02,0.26,3.17,0.22,3.97,0.13,0.15,3.1,1.01,0.02,4.4,56.3,841.0,0.44,2.29,0.9,3
Eritrea,Africa,0.39,0.1,0.18,0.06,0.03,0.01,0.42,0.07,0.18,0.09,0.93,0.02,1.3,15.0,27.0,0.88,0.24,0.32,5
Ethiopia,Africa,0.43,0.31,0.12,0.46,0.07,0.0,1.02,0.31,0.12,0.05,0.04,0.06,0.58,12.5,1308.0,-0.44,0.59,1.75,6
Fiji,Asia-Pacific,0.72,0.55,0.2,0.42,1.06,0.62,2.9,0.28,0.09,1.3,0.65,0.04,2.37,55.4,8.0,-0.52,1.67,1.22,5
France,European Union,0.89,1.23,0.27,0.53,2.71,0.19,5.14,1.67,0.16,0.96,0.11,0.21,3.11,30.8,5694.0,-2.04,2.97,1.66,6
Gabon,Africa,0.67,0.53,0.13,0.79,0.43,0.11,2.02,0.25,3.6,19.5,2.93,0.03,26.31,88.5,559.0,24.29,1.16,0.08,3
Gambia,Africa,0.44,0.46,0.05,0.2,0.21,0.08,1.03,0.23,0.04,0.2,0.32,0.03,0.82,48.1,7.0,-0.21,0.6,1.25,5
Georgia,Middle East/Central Asia,0.75,0.39,0.2,0.1,0.83,0.02,1.58,0.12,0.36,0.61,0.05,0.04,1.17,40.6,61.0,-0.41,0.91,1.35,3
Germany,European Union,0.91,1.1,0.14,0.48,3.28,0.05,5.3,1.23,0.06,0.68,0.07,0.24,2.27,32.7,5004.0,-3.02,3.06,2.33,5
Ghana,Africa,0.57,0.56,0.07,0.65,0.43,0.19,1.97,0.67,0.26,0.29,0.06,0.07,1.35,40.9,410.0,-0.62,1.14,1.46,6
Greece,European Union,0.86,1.07,0.35,0.24,2.58,0.08,4.38,1.01,0.14,0.23,0.17,0.06,1.61,31.2,368.0,-2.77,2.53,2.73,5
Guatemala,Latin America,0.62,0.37,0.16,0.58,0.7,0.01,1.89,0.38,0.15,0.34,0.05,0.07,0.99,33.4,327.0,-0.9,1.09,1.91,5
Guinea,Africa,0.41,0.39,0.32,0.45,0.16,0.05,1.41,0.35,0.75,0.64,0.3,0.04,2.09,26.0,113.0,0.68,0.81,0.67,5
Guinea-Bissau,Africa,0.42,0.35,0.36,0.67,0.09,0.01,1.53,0.48,0.36,0.34,1.79,0.06,3.03,70.5,25.0,1.49,0.89,0.51,6
Guyana,Latin America,0.63,0.7,0.22,0.77,1.25,0.06,3.07,0.69,1.51,59.19,5.12,0.06,66.58,84.0,7.0,63.51,1.77,0.05,5
Haiti,Latin America,0.48,0.27,0.04,0.1,0.15,0.01,0.61,0.18,0.03,0.01,0.01,0.03,0.27,3.5,136.0,-0.34,0.35,2.28,6
Honduras,Latin America,0.61,0.28,0.25,0.5,0.6,0.0,1.68,0.33,0.26,0.89,0.23,0.06,1.77,42.1,105.0,0.09,0.97,0.95,3
Hungary,European Union,0.82,0.42,0.08,0.36,1.9,0.02,2.92,1.28,0.06,0.69,0.0,0.13,2.17,22.8,423.0,-0.75,1.69,1.34,5
India,Asia-Pacific,0.6,0.34,0.01,0.14,0.61,0.02,1.16,0.35,0.0,0.02,0.03,0.05,0.45,23.7,23103.0,-0.71,0.67,2.55,6
Indonesia,Asia-Pacific,0.68,0.44,0.03,0.2,0.64,0.21,1.58,0.46,0.06,0.3,0.38,0.06,1.26,50.6,19481.0,-0.32,0.91,1.25,6
Iraq,Middle East/Central Asia,0.65,0.43,0.03,0.01,1.36,0.01,1.88,0.18,0.02,0.05,0.0,0.04,0.29,1.9,6744.0,-1.59,1.09,6.58,3
Ireland,European Union,0.91,1.08,0.49,0.46,3.22,0.18,5.57,0.84,0.76,0.5,1.49,0.13,3.73,10.9,84.0,-1.83,3.21,1.49,5
Israel,Middle East/Central Asia,0.89,0.89,0.22,0.36,4.59,0.07,6.22,0.22,0.01,0.03,0.02,0.08,0.35,7.5,313.0,-5.87,3.59,17.59,6
Italy,European Union,0.87,0.91,0.32,0.42,2.77,0.12,4.61,0.58,0.04,0.33,0.06,0.06,1.08,31.4,1539.0,-3.53,2.66,4.28,6
Jamaica,Latin America,0.72,0.41,0.09,0.18,1.09,0.07,1.89,0.16,0.0,0.1,0.11,0.05,0.43,31.0,8.0,-1.46,1.09,4.39,3
Japan,Asia-Pacific,0.89,0.53,0.1,0.27,3.69,0.33,5.02,0.16,0.0,0.35,0.1,0.1,0.72,68.5,1114.0,-4.3,2.9,7.01,6
Jordan,Middle East/Central Asia,0.75,0.54,0.18,0.17,1.09,0.03,2.1,0.09,0.02,0.03,0.0,0.07,0.21,1.1,7.0,-1.89,1.21,9.91,5
Kazakhstan,Middle East/Central Asia,0.78,0.58,0.19,0.12,4.59,0.03,5.55,1.14,1.93,0.24,0.06,0.03,3.41,1.2,7091.0,-2.14,3.2,1.63,3
Kenya,Africa,0.54,0.25,0.23,0.27,0.2,0.05,1.03,0.2,0.24,0.02,0.02,0.04,0.51,7.7,750.0,-0.52,0.6,2.02,5
Kuwait,Middle East/Central Asia,0.82,0.55,0.24,0.21,6.89,0.09,8.13,0.02,0.01,0.0,0.37,0.15,0.55,0.4,6941.0,-7.58,4.7,14.68,3
Kyrgyzstan,Middle East/Central Asia,0.65,0.59,0.18,0.09,0.95,0.01,1.91,0.47,0.63,0.06,0.05,0.08,1.3,3.4,80.0,-0.61,1.1,1.47,3
Lao People's Democratic Republic,Asia-Pacific,0.56,0.57,0.08,0.36,0.09,0.01,1.22,0.57,0.13,0.78,0.03,0.11,1.62,80.5,72.0,0.4,0.7,0.75,6
Latvia,European Union,0.81,2.28,0.09,2.02,1.66,0.11,6.29,3.1,0.31,4.08,1.93,0.13,9.55,54.0,108.0,3.26,3.63,0.66,5
Lebanon,Middle East/Central Asia,0.76,0.67,0.3,0.25,2.52,0.05,3.84,0.16,0.04,0.06,0.01,0.06,0.33,13.4,7.0,-3.51,2.22,11.7,6
Lesotho,Africa,0.48,0.22,0.49,0.42,0.51,0.0,1.66,0.04,0.74,0.0,0.0,0.01,0.78,1.6,31.0,-0.87,0.96,2.11,3
Liberia,Africa,0.42,0.23,0.03,0.75,0.14,0.03,1.21,0.15,0.61,1.45,0.32,0.03,2.57,43.7,73.0,1.35,0.7,0.47,3
Lithuania,European Union,0.83,1.89,0.21,1.28,2.15,0.16,5.83,3.03,0.11,2.09,0.3,0.15,5.67,34.8,74.0,-0.17,3.37,1.03,5
Luxembourg,European Union,0.89,1.1,0.76,1.03,12.65,0.13,15.82,0.57,0.08,0.89,0.0,0.14,1.68,33.5,6.0,-14.14,9.14,9.44,5
Madagascar,Africa,0.51,0.27,0.34,0.24,0.07,0.02,0.99,0.26,1.3,0.8,0.21,0.06,2.63,21.5,129.0,1.64,0.57,0.38,6
Malawi,Africa,0.43,0.43,0.05,0.2,0.07,0.01,0.81,0.45,0.07,0.02,0.06,0.05,0.66,33.6,89.0,-0.15,0.47,1.22,5
Malaysia,Asia-Pacific,0.77,0.67,0.12,0.38,2.1,0.36,3.71,0.75,0.01,0.73,0.84,0.07,2.41,67.5,3738.0,-1.3,2.14,1.54,3
Mali,Africa,0.41,0.52,0.66,0.17,0.1,0.03,1.53,0.51,0.71,0.25,0.05,0.06,1.58,3.9,55.0,0.05,0.88,0.97,6
Mauritania,Africa,0.5,0.39,1.2,0.21,0.55,0.15,2.54,0.1,2.91,0.05,1.38,0.04,4.48,0.2,31.0,1.93,1.47,0.57,3
Mauritius,Africa,0.77,0.52,0.22,0.18,1.99,0.55,3.46,0.14,0.0,0.01,0.56,0.0,0.71,19.0,10.0,-2.75,2.0,4.89,5
Mexico,Latin America,0.75,0.55,0.24,0.25,1.74,0.06,2.89,0.37,0.24,0.47,0.14,0.05,1.27,34.0,8514.0,-1.62,1.67,2.27,5
Mongolia,Asia-Pacific,0.71,0.29,3.47,0.17,2.09,0.0,6.08,0.21,8.23,7.03,0.14,0.05,15.66,8.1,677.0,9.58,3.51,0.39,3
Montenegro,Northern/Eastern Europe,0.8,0.64,0.33,0.62,2.13,0.05,3.78,0.14,0.22,2.63,0.24,0.01,3.24,61.5,29.0,-0.54,2.19,1.17,5
Morocco,Africa,0.62,0.6,0.17,0.14,0.67,0.06,1.68,0.34,0.17,0.1,0.07,0.03,0.71,12.6,78.0,-0.96,0.97,2.35,5
Mozambique,Africa,0.41,0.31,0.03,0.29,0.17,0.03,0.87,0.28,0.96,0.61,0.17,0.05,2.06,48.5,779.0,1.19,0.5,0.42,5
Myanmar,Asia-Pacific,0.53,0.8,0.01,0.32,0.09,0.1,1.43,0.88,0.0,0.56,0.28,0.11,1.84,45.3,1078.0,0.41,0.83,0.78,6
Namibia,Africa,0.62,0.33,0.23,0.17,1.02,0.72,2.48,0.14,1.6,0.36,4.76,0.02,6.88,8.5,19.0,4.4,1.43,0.36,3
Nepal,Asia-Pacific,0.54,0.43,0.07,0.21,0.16,0.0,0.98,0.37,0.05,0.06,0.01,0.11,0.59,25.4,451.0,-0.38,0.56,1.65,6
Netherlands,European Union,0.92,0.76,0.58,0.38,3.23,0.16,5.28,0.45,0.04,0.08,0.43,0.17,1.17,11.1,2447.0,-4.11,3.05,4.53,6
New Zealand,Asia-Pacific,0.91,0.63,0.23,1.08,2.84,0.7,5.6,0.51,2.7,5.95,0.86,0.13,10.14,38.6,783.0,4.54,3.23,0.55,3
Nicaragua,Latin America,0.63,0.34,0.12,0.42,0.45,0.03,1.39,0.4,0.58,0.74,0.49,0.05,2.25,25.9,91.0,0.87,0.8,0.62,5
Niger,Africa,0.34,0.67,0.48,0.26,0.1,0.02,1.56,0.65,0.51,0.05,0.0,0.03,1.24,0.9,101.0,-0.32,0.9,1.26,5
Nigeria,Africa,0.5,0.53,0.1,0.19,0.21,0.08,1.16,0.5,0.12,0.02,0.02,0.05,0.7,8.1,10851.0,-0.47,0.67,1.67,5
Oman,Middle East/Central Asia,0.79,0.57,0.4,0.15,5.8,0.4,7.52,0.07,0.04,0.0,1.61,0.19,1.92,0,3101.0,-5.6,4.34,3.93,3
Pakistan,Asia-Pacific,0.53,0.27,0.01,0.08,0.38,0.02,0.79,0.26,0.0,0.01,0.04,0.03,0.35,2.0,2202.0,-0.44,0.46,2.28,6
Panama,Latin America,0.77,0.36,0.4,0.19,1.44,0.37,2.79,0.14,0.43,1.74,0.6,0.02,2.94,62.3,31.0,0.15,1.61,0.95,3
Papua New Guinea,Asia-Pacific,0.5,0.3,0.05,0.36,0.35,0.73,1.91,0.36,0.04,2.66,0.73,0.13,3.92,74.1,114.0,2.01,1.1,0.49,3
Paraguay,Latin America,0.67,1.11,1.1,0.83,0.97,0.01,4.16,2.51,2.28,5.54,0.05,0.14,10.52,39.4,325.0,6.36,2.4,0.4,3
Peru,Latin America,0.73,0.5,0.51,0.19,0.67,0.33,2.28,0.36,0.51,2.82,0.2,0.07,3.97,57.9,1020.0,1.69,1.32,0.57,6
Philippines,Asia-Pacific,0.66,0.36,0.03,0.09,0.34,0.23,1.1,0.32,0.02,0.09,0.07,0.05,0.54,26.2,991.0,-0.56,0.64,2.03,5
Poland,European Union,0.84,0.84,0.04,0.78,2.64,0.05,4.44,1.05,0.07,0.77,0.11,0.09,2.08,30.7,2819.0,-2.36,2.57,2.14,6
Portugal,European Union,0.83,1.03,0.25,0.09,2.15,0.31,3.88,0.47,0.06,0.85,0.07,0.05,1.51,34.9,250.0,-2.37,2.24,2.57,5
Qatar,Middle East/Central Asia,0.85,0.57,0.27,0.15,9.57,0.19,10.8,0.01,0.0,0.0,1.17,0.06,1.24,0.0,9166.0,-9.56,6.24,8.72,3
Romania,European Union,0.79,0.72,0.05,0.33,1.46,0.03,2.71,0.87,0.11,1.14,0.08,0.12,2.32,29.5,1109.0,-0.39,1.56,1.17,5
Russian Federation,Northern/Eastern Europe,0.79,0.77,0.15,0.67,3.87,0.19,5.69,0.85,0.34,4.38,1.19,0.03,6.79,49.8,54829.0,1.1,3.29,0.84,6
Rwanda,Africa,0.48,0.43,0.05,0.25,0.07,0.01,0.87,0.42,0.05,0.01,0.01,0.05,0.54,19.2,84.0,-0.32,0.5,1.6,5
Saint Kitts and Nevis,Latin America,0.74,0.51,0.18,0.09,3.34,0.81,4.94,0.06,0.01,0.17,0.38,0.0,0.62,42.3,0.0,-4.31,2.85,7.92,3
Saint Lucia,Latin America,0.73,0.38,0.1,0.17,1.56,0.23,2.45,0.1,0.0,0.1,0.14,0.0,0.34,33.4,0.0,-2.1,1.41,7.12,3
Samoa,Asia-Pacific,0.7,0.97,0.16,0.27,0.96,0.42,2.77,0.69,0.01,1.17,0.06,0.0,1.93,60.4,2.0,-0.85,1.6,1.44,3
Sao Tome and Principe,Africa,0.55,0.36,0.02,0.27,0.37,0.47,1.49,0.25,0.0,0.22,0.4,0.0,0.87,55.8,1.0,-0.61,0.86,1.7,3
Saudi Arabia,Middle East/Central Asia,0.83,0.74,0.27,0.27,4.21,0.08,5.61,0.09,0.12,0.07,0.18,0.04,0.5,0.5,25904.0,-5.12,3.24,11.28,3
Senegal,Africa,0.46,0.34,0.21,0.21,0.3,0.12,1.21,0.21,0.17,0.46,0.17,0.02,1.05,43.2,77.0,-0.16,0.7,1.16,5
Serbia,Northern/Eastern Europe,0.76,0.49,0.02,0.46,1.66,0.02,2.7,0.73,0.02,0.46,0.0,0.04,1.25,31.1,393.0,-1.44,1.56,2.15,5
Sierra Leone,Africa,0.4,0.47,0.11,0.38,0.07,0.15,1.24,0.42,0.35,0.19,0.22,0.05,1.24,41.3,53.0,0.0,0.71,1.0,6
Singapore,Asia-Pacific,0.91,0.67,0.24,0.91,5.91,0.22,7.97,0.0,0.0,0.0,0.01,0.03,0.05,23.1,27.0,-7.92,4.61,159.47,5
Slovakia,European Union,0.84,0.31,0.08,0.72,2.82,0.03,4.06,0.71,0.06,1.85,0.0,0.09,2.71,40.3,264.0,-1.35,2.35,1.5,5
Slovenia,European Union,0.88,0.64,0.17,0.65,4.27,0.05,5.81,0.37,0.07,1.87,0.0,0.04,2.35,62.0,154.0,-3.47,3.36,2.48,6
Solomon Islands,Asia-Pacific,0.5,0.47,0.03,0.09,0.0,0.46,1.29,0.66,0.01,2.28,1.19,0.23,4.36,78.3,3.0,3.08,0.74,0.29,3
South Africa,Africa,0.66,0.44,0.11,0.29,2.34,0.08,3.31,0.35,0.58,0.02,0.17,0.04,1.15,7.6,7102.0,-2.16,1.91,2.87,5
Spain,European Union,0.87,0.78,0.15,0.17,2.22,0.32,3.67,0.72,0.1,0.34,0.06,0.04,1.25,36.8,1432.0,-2.42,2.12,2.94,6
Sri Lanka,Asia-Pacific,0.75,0.31,0.01,0.16,0.52,0.27,1.32,0.26,0.02,0.04,0.07,0.05,0.44,33.1,179.0,-0.88,0.77,3.01,6
Suriname,Latin America,0.71,0.43,0.06,0.52,3.01,0.14,4.25,0.3,0.03,81.52,7.39,0.09,89.33,98.3,44.0,85.08,2.46,0.05,3
Swaziland,Africa,0.53,0.35,0.41,0.52,0.67,0.01,2.01,0.25,0.51,0.05,0.0,0.06,0.88,33.8,39.0,-1.14,1.16,2.3,3
Sweden,European Union,0.9,1.47,0.27,1.3,3.88,0.09,7.25,1.31,0.22,6.66,2.19,0.24,10.62,68.9,1428.0,3.38,4.19,0.68,5
Switzerland,Northern/Eastern Europe,0.93,0.75,0.22,0.38,4.26,0.07,5.79,0.32,0.12,0.74,0.01,0.12,1.3,31.6,552.0,-4.48,3.34,4.44,6
Syrian Arab Republic,Middle East/Central Asia,0.62,0.52,0.09,0.04,0.81,0.01,1.51,0.41,0.1,0.04,0.0,0.05,0.6,2.7,237.0,-0.91,0.87,2.5,5
Tajikistan,Middle East/Central Asia,0.62,0.46,0.14,0.1,0.13,0.0,0.91,0.29,0.14,0.01,0.01,0.08,0.53,3.0,76.0,-0.38,0.52,1.71,5
Thailand,Asia-Pacific,0.72,0.67,0.02,0.24,1.54,0.13,2.66,0.77,0.01,0.2,0.19,0.07,1.24,32.0,3338.0,-1.42,1.54,2.14,6
Timor-Leste,Asia-Pacific,0.6,0.25,0.07,0.04,0.06,0.02,0.48,0.21,0.06,0.52,0.94,0.04,1.78,46.9,143.0,1.3,0.28,0.27,3
Togo,Africa,0.47,0.34,0.1,0.27,0.31,0.08,1.13,0.34,0.12,0.03,0.02,0.02,0.53,3.8,111.0,-0.6,0.65,2.13,6
Tonga,Asia-Pacific,0.72,1.19,0.32,0.14,0.88,0.18,2.7,0.83,0.02,0.11,0.52,0.0,1.48,12.5,0.0,-1.22,1.56,1.82,3
Trinidad and Tobago,Latin America,0.77,0.46,0.19,0.27,6.89,0.11,7.92,0.04,0.01,0.15,1.37,0.0,1.56,45.4,1663.0,-6.36,4.57,5.07,3
Tunisia,Africa,0.72,0.76,0.09,0.28,1.11,0.06,2.34,0.53,0.08,0.05,0.24,0.04,0.93,6.6,274.0,-1.4,1.35,2.51,5
Turkey,Middle East/Central Asia,0.76,0.87,0.12,0.34,1.92,0.04,3.33,0.75,0.09,0.6,0.04,0.04,1.52,15.1,1303.0,-1.81,1.92,2.19,5
Turkmenistan,Middle East/Central Asia,0.68,0.73,0.44,0.08,4.13,0.01,5.47,0.6,1.96,0.02,0.13,0.09,2.79,8.8,3270.0,-2.68,3.16,1.96,6
Uganda,Africa,0.48,0.34,0.15,0.54,0.08,0.11,1.24,0.35,0.15,0.01,0.04,0.04,0.59,11.0,409.0,-0.66,0.72,2.12,6
Ukraine,Northern/Eastern Europe,0.74,0.62,0.01,0.16,1.92,0.06,2.84,1.5,0.12,0.43,0.15,0.07,2.27,16.6,3203.0,-0.58,1.64,1.25,5
United Kingdom,European Union,0.9,0.82,0.28,0.45,3.14,0.08,4.94,0.6,0.12,0.12,0.3,0.18,1.32,12.9,4482.0,-3.62,2.85,3.76,6
United Arab Emirates,Middle East/Central Asia,0.83,0.8,0.19,0.38,6.37,0.19,7.93,0.02,0.0,0.07,0.47,0.0,0.56,3.8,8642.0,-7.37,4.58,14.160714285714299,6
United States of America,North America,0.91,1.13,0.3,0.67,5.9,0.12,8.22,1.49,0.28,1.57,0.33,0.09,3.76,33.9,83887.0,-4.46,4.75,2.19,6
Uruguay,Latin America,0.79,0.19,0.98,0.55,0.98,0.05,2.91,1.89,4.86,1.22,2.18,0.17,10.32,10.4,113.0,7.41,1.68,0.28,3
Uzbekistan,Middle East/Central Asia,0.67,0.62,0.13,0.08,1.41,0.0,2.32,0.56,0.2,0.06,0.03,0.08,0.92,7.6,2339.0,-1.4,1.34,2.52,6
Viet Nam,Asia-Pacific,0.66,0.5,0.01,0.19,0.79,0.05,1.65,0.55,0.01,0.17,0.16,0.1,1.0,47.2,2977.0,-0.65,0.95,1.66,6
Yemen,Middle East/Central Asia,0.5,0.34,0.14,0.04,0.42,0.04,1.03,0.09,0.12,0.04,0.2,0.04,0.5,1.0,668.0,-0.53,0.59,2.06,5
Zambia,Africa,0.58,0.19,0.18,0.33,0.24,0.01,0.99,0.24,0.94,0.99,0.02,0.04,2.23,65.6,374.0,1.24,0.57,0.44,6
Zimbabwe,Africa,0.49,0.2,0.32,0.29,0.53,0.01,1.37,0.15,0.32,0.12,0.01,0.02,0.62,37.2,482.0,-0.75,0.79,2.2,6
